Category,Exercise,Variation
Isolation,Lateral Raise,"Pronated, Shoulder Width, Bodyweight"
Squat,Belt Squat,"Supinated, Staggered, Barbell"
Squat,Zercher Squat,"Neutral, Bodyweight, Chains"
Pull,Chin-Up,"Supinated, Split, Bodyweight"
Isolation,Bicep Curl,"Pronated, Wide, Machine"
Squat,Back Squat,"Pronated, Barbell, Feet Elevated"
Isolation,Calf Raise,"False, Wide, Machine"
Pull,T-Bar Row,"Supinated, Staggered, Barbell"
Squat,Safety Bar Squat,"Pronated, Narrow, Dumbbell"
Press,Incline Bench Press,"Neutral, Dumbbell, Bands"
Press,Smith Machine Press,"Mixed, Staggered, Dumbbell"
Press,Smith Machine Press,"Pronated, Dumbbell, Deficit"
Isolation,Lateral Raise,"Neutral, Dumbbell, Single Arm"
Press,Decline Bench Press,"Supinated, Narrow, Smith Machine"
Hinge,Deadlift,"Pronated, Smith Machine, Feet Elevated"
Hinge,Good Morning,"Supinated, Cable, Chains"
Pull,Lat Pulldown,"Neutral, Cable, Bands"
Hinge,Stiff-Leg Deadlift,"Mixed, Narrow, Machine"
Press,Dumbbell Bench Press,"Supinated, Barbell, Deficit"
Isolation,Bicep Curl,"False, Staggered, Dumbbell"
Hinge,Deadlift,"Neutral, Cable, Elevated Heels"
Press,Incline Bench Press,"Neutral, Machine, Deficit"
Squat,Back Squat,"Neutral, Cable, Chains"
Pull,Lat Pulldown,"Supinated, Dumbbell, Elevated Heels"
Press,Machine Chest Press,"Neutral, Dumbbell, Deficit"
Press,Incline Bench Press,"Neutral, Bodyweight, Single Arm"
Isolation,Bicep Curl,"Supinated, Staggered, Dumbbell"
Isolation,Bicep Curl,"Supinated, Machine, Elevated Heels"
Squat,Zercher Squat,"False, Staggered, Dumbbell"
Press,Decline Bench Press,"Supinated, Wide, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Narrow, Dumbbell"
Isolation,Tricep Pushdown,"Pronated, Split, Bodyweight"
Isolation,Calf Raise,"Supinated, Shoulder Width, Dumbbell"
Hinge,Good Morning,"Pronated, Cable, Bands"
Squat,Zercher Squat,"Supinated, Staggered, Dumbbell"
Squat,Zercher Squat,"Supinated, Machine, Elevated Heels"
Hinge,Back Extension,"Supinated, Split, Barbell"
Press,Dip,"Pronated, Smith Machine, Deficit"
Hinge,Stiff-Leg Deadlift,"False, Narrow, Bodyweight"
Isolation,Tricep Pushdown,"Mixed, Narrow, Dumbbell"
Isolation,Bicep Curl,"Mixed, Narrow, Bodyweight"
Squat,Goblet Squat,"False, Split, Machine"
Isolation,Tricep Pushdown,"Supinated, Cable, Bands"
Squat,Safety Bar Squat,"Pronated, Machine, Elevated Heels"
Hinge,Romanian Deadlift,"Supinated, Machine, Feet Elevated"
Press,Decline Bench Press,"False, Shoulder Width, Cable"
Press,Dumbbell Bench Press,"Neutral, Split, Machine"
Hinge,Good Morning,"Neutral, Cable, Bands"
Pull,Pull-Up,"Pronated, Wide, Cable"
Press,Machine Chest Press,"Supinated, Shoulder Width, Barbell"
Pull,Chest Supported Row,"Mixed, Narrow, Barbell"
Squat,Back Squat,"Supinated, Smith Machine, Deficit"
Squat,Zercher Squat,"Mixed, Narrow, Bodyweight"
Pull,Chin-Up,"Mixed, Narrow, Dumbbell"
Isolation,Tricep Pushdown,"False, Split, Smith Machine"
Squat,Front Squat,"Supinated, Smith Machine, Chains"
Squat,Hack Squat,"False, Split, Machine"
Squat,Zercher Squat,"Neutral, Narrow, Smith Machine"
Hinge,Deadlift,"Supinated, Narrow, Barbell"
Hinge,Good Morning,"Supinated, Dumbbell, Elevated Heels"
Press,Barbell Bench Press,"Neutral, Cable, Single Arm"
Press,Decline Bench Press,"Mixed, Wide, Smith Machine"
Squat,Goblet Squat,"False, Shoulder Width, Smith Machine"
Squat,Zercher Squat,"False, Staggered, Cable"
Pull,Lat Pulldown,"Neutral, Shoulder Width, Smith Machine"
Squat,Zercher Squat,"Neutral, Narrow, Barbell"
Squat,Safety Bar Squat,"Pronated, Dumbbell, Feet Elevated"
Pull,T-Bar Row,"Neutral, Narrow, Dumbbell"
Hinge,Deadlift,"Supinated, Machine, Chains"
Isolation,Leg Extension,"Pronated, Bodyweight, Deficit"
Pull,Chin-Up,"False, Split, Smith Machine"
Isolation,Bicep Curl,"Pronated, Cable, Feet Elevated"
Pull,Pull-Up,"Mixed, Staggered, Smith Machine"
Squat,Belt Squat,"Supinated, Smith Machine, Single Arm"
Squat,Front Squat,"Neutral, Staggered, Dumbbell"
Squat,Hack Squat,"False, Shoulder Width, Smith Machine"
Press,Dip,"Pronated, Barbell, Bands"
Isolation,Tricep Pushdown,"Supinated, Shoulder Width, Machine"
Pull,Cable Row,"Neutral, Bodyweight, Bands"
Pull,Barbell Row,"Neutral, Narrow, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Narrow, Cable"
Isolation,Bicep Curl,"Supinated, Split, Cable"
Squat,Zercher Squat,"Pronated, Cable, Feet Elevated"
Press,Smith Machine Press,"Mixed, Shoulder Width, Barbell"
Press,Dip,"Supinated, Narrow, Smith Machine"
Pull,Barbell Row,"Pronated, Narrow, Cable"
Hinge,Deadlift,"Neutral, Staggered, Cable"
Hinge,Good Morning,"Neutral, Smith Machine, Single Arm"
Squat,Front Squat,"Mixed, Narrow, Smith Machine"
Hinge,Deadlift,"Neutral, Bodyweight, Deficit"
Press,Decline Bench Press,"Neutral, Dumbbell, Bands"
Squat,Zercher Squat,"Supinated, Split, Cable"
Isolation,Calf Raise,"Neutral, Staggered, Barbell"
Press,Smith Machine Press,"Pronated, Machine, Bands"
Squat,Belt Squat,"Neutral, Cable, Chains"
Pull,Pull-Up,"Supinated, Barbell, Elevated Heels"
Isolation,Calf Raise,"Neutral, Barbell, Deficit"
Press,Dip,"Supinated, Wide, Dumbbell"
Hinge,Good Morning,"Neutral, Shoulder Width, Smith Machine"
Hinge,Romanian Deadlift,"Pronated, Wide, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Feet Elevated"
Isolation,Rear Delt Fly,"Neutral, Wide, Cable"
Press,Dumbbell Bench Press,"Mixed, Split, Smith Machine"
Squat,Safety Bar Squat,"Neutral, Split, Barbell"
Squat,Belt Squat,"Neutral, Bodyweight, Feet Elevated"
Press,Incline Bench Press,"Mixed, Shoulder Width, Machine"
Pull,Barbell Row,"Neutral, Smith Machine, Bands"
Press,Smith Machine Press,"Neutral, Wide, Smith Machine"
Pull,Barbell Row,"Pronated, Staggered, Dumbbell"
Pull,Barbell Row,"Supinated, Wide, Barbell"
Hinge,Deadlift,"Supinated, Staggered, Smith Machine"
Pull,Pull-Up,"Supinated, Cable, Elevated Heels"
Pull,Cable Row,"Supinated, Wide, Smith Machine"
Hinge,Deadlift,"Pronated, Barbell, Deficit"
Press,Incline Bench Press,"False, Split, Dumbbell"
Hinge,Hip Thrust,"Pronated, Barbell, Chains"
Isolation,Bicep Curl,"False, Staggered, Machine"
Press,Barbell Bench Press,"Neutral, Shoulder Width, Bodyweight"
Isolation,Calf Raise,"Neutral, Cable, Feet Elevated"
Press,Dip,"False, Shoulder Width, Cable"
Pull,T-Bar Row,"Mixed, Narrow, Barbell"
Press,Incline Bench Press,"Supinated, Dumbbell, Chains"
Isolation,Tricep Pushdown,"Supinated, Bodyweight, Single Arm"
Squat,Back Squat,"Supinated, Dumbbell, Bands"
Isolation,Calf Raise,"Supinated, Staggered, Machine"
Hinge,Good Morning,"Supinated, Staggered, Barbell"
Pull,Chin-Up,"Pronated, Staggered, Machine"
Hinge,Deadlift,"Neutral, Machine, Feet Elevated"
Squat,Zercher Squat,"False, Staggered, Machine"
Press,Incline Bench Press,"Neutral, Machine, Single Arm"
Squat,Belt Squat,"Supinated, Smith Machine, Deficit"
Hinge,Back Extension,"Pronated, Dumbbell, Single Arm"
Press,Incline Bench Press,"False, Split, Cable"
Pull,Chin-Up,"Supinated, Bodyweight, Single Arm"
Press,Barbell Bench Press,"Pronated, Staggered, Cable"
Pull,Cable Row,"Supinated, Cable, Single Arm"
Squat,Front Squat,"Supinated, Narrow, Machine"
Hinge,Back Extension,"Neutral, Split, Cable"
Hinge,Romanian Deadlift,"Neutral, Split, Smith Machine"
Press,Barbell Bench Press,"False, Narrow, Machine"
Squat,Hack Squat,"Pronated, Smith Machine, Elevated Heels"
Isolation,Calf Raise,"Neutral, Dumbbell, Elevated Heels"
Press,Smith Machine Press,"Neutral, Narrow, Machine"
Pull,Lat Pulldown,"Neutral, Narrow, Dumbbell"
Isolation,Bicep Curl,"Neutral, Machine, Deficit"
Hinge,Hip Thrust,"Mixed, Staggered, Machine"
Squat,Safety Bar Squat,"Pronated, Split, Dumbbell"
Press,Barbell Bench Press,"Neutral, Bodyweight, Bands"
Pull,Chin-Up,"Pronated, Narrow, Cable"
Hinge,Stiff-Leg Deadlift,"Supinated, Split, Bodyweight"
Press,Incline Bench Press,"Pronated, Bodyweight, Single Arm"
Isolation,Lateral Raise,"Neutral, Wide, Cable"
Isolation,Bicep Curl,"Neutral, Bodyweight, Single Arm"
Squat,Safety Bar Squat,"Pronated, Smith Machine, Deficit"
Isolation,Tricep Pushdown,"Supinated, Barbell, Deficit"
Press,Overhead Press,"Supinated, Wide, Cable"
Isolation,Leg Curl,"Supinated, Split, Barbell"
Press,Smith Machine Press,"Pronated, Narrow, Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Wide, Dumbbell"
Isolation,Leg Curl,"Supinated, Barbell, Bands"
Press,Overhead Press,"Supinated, Staggered, Dumbbell"
Press,Dip,"Neutral, Dumbbell, Bands"
Press,Machine Chest Press,"Supinated, Wide, Machine"
Pull,Barbell Row,"Supinated, Machine, Deficit"
Squat,Zercher Squat,"Neutral, Bodyweight, Single Arm"
Pull,Chin-Up,"Supinated, Barbell, Deficit"
Isolation,Leg Extension,"Pronated, Wide, Cable"
Press,Incline Bench Press,"Mixed, Split, Cable"
Press,Machine Chest Press,"Neutral, Wide, Bodyweight"
Press,Smith Machine Press,"Supinated, Wide, Bodyweight"
Squat,Front Squat,"Supinated, Split, Smith Machine"
Press,Overhead Press,"Neutral, Shoulder Width, Cable"
Squat,Back Squat,"Pronated, Split, Bodyweight"
Pull,Chin-Up,"Pronated, Staggered, Dumbbell"
Pull,Chin-Up,"Supinated, Wide, Barbell"
Isolation,Calf Raise,"Supinated, Narrow, Bodyweight"
Press,Overhead Press,"Mixed, Narrow, Bodyweight"
Press,Overhead Press,"Neutral, Narrow, Smith Machine"
Press,Decline Bench Press,"Supinated, Smith Machine, Chains"
Hinge,Good Morning,"Neutral, Narrow, Dumbbell"
Isolation,Tricep Pushdown,"Neutral, Split, Machine"
Squat,Zercher Squat,"Pronated, Split, Machine"
Squat,Goblet Squat,"Mixed, Staggered, Cable"
Pull,Cable Row,"Neutral, Dumbbell, Chains"
Isolation,Rear Delt Fly,"Pronated, Wide, Barbell"
Isolation,Leg Extension,"Mixed, Staggered, Smith Machine"
Press,Incline Bench Press,"Pronated, Wide, Bodyweight"
Isolation,Bicep Curl,"False, Narrow, Smith Machine"
Pull,Barbell Row,"Pronated, Machine, Chains"
Squat,Safety Bar Squat,"Pronated, Barbell, Bands"
Squat,Back Squat,"Supinated, Cable, Bands"
Press,Overhead Press,"False, Staggered, Cable"
Squat,Zercher Squat,"Pronated, Split, Cable"
Press,Overhead Press,"Neutral, Narrow, Barbell"
Press,Machine Chest Press,"Pronated, Smith Machine, Feet Elevated"
Squat,Hack Squat,"Mixed, Staggered, Cable"
Squat,Hack Squat,"Pronated, Narrow, Dumbbell"
Pull,Chin-Up,"Neutral, Split, Machine"
Hinge,Stiff-Leg Deadlift,"Mixed, Narrow, Dumbbell"
Pull,Lat Pulldown,"Mixed, Narrow, Barbell"
Squat,Safety Bar Squat,"Supinated, Narrow, Smith Machine"
Squat,Zercher Squat,"False, Narrow, Smith Machine"
Press,Machine Chest Press,"Neutral, Cable, Elevated Heels"
Hinge,Stiff-Leg Deadlift,"Neutral, Split, Smith Machine"
Press,Decline Bench Press,"Neutral, Staggered, Dumbbell"
Squat,Back Squat,"False, Split, Smith Machine"
Press,Overhead Press,"Pronated, Cable, Feet Elevated"
Pull,Chest Supported Row,"Neutral, Bodyweight, Chains"
Press,Smith Machine Press,"Neutral, Cable, Deficit"
Press,Incline Bench Press,"Pronated, Shoulder Width, Smith Machine"
Squat,Safety Bar Squat,"Supinated, Wide, Dumbbell"
Press,Decline Bench Press,"Mixed, Narrow, Smith Machine"
Isolation,Leg Extension,"Supinated, Barbell, Elevated Heels"
Press,Barbell Bench Press,"False, Wide, Dumbbell"
Squat,Goblet Squat,"Pronated, Bodyweight, Elevated Heels"
Hinge,Back Extension,"Pronated, Bodyweight, Chains"
Isolation,Bicep Curl,"Mixed, Wide, Dumbbell"
Press,Dumbbell Bench Press,"Mixed, Staggered, Barbell"
Pull,Chest Supported Row,"Pronated, Wide, Machine"
Hinge,Good Morning,"Neutral, Bodyweight, Feet Elevated"
Squat,Back Squat,"Supinated, Shoulder Width, Machine"
Hinge,Back Extension,"Neutral, Smith Machine, Deficit"
Squat,Hack Squat,"Pronated, Bodyweight, Elevated Heels"
Pull,Pull-Up,"Pronated, Barbell, Chains"
Squat,Zercher Squat,"Mixed, Wide, Dumbbell"
Squat,Front Squat,"Neutral, Wide, Dumbbell"
Pull,Cable Row,"Mixed, Shoulder Width, Smith Machine"
Pull,Chest Supported Row,"False, Staggered, Dumbbell"
Squat,Safety Bar Squat,"Supinated, Wide, Smith Machine"
Hinge,Romanian Deadlift,"Neutral, Narrow, Bodyweight"
Hinge,Good Morning,"Mixed, Narrow, Barbell"
Isolation,Lateral Raise,"Pronated, Wide, Barbell"
Isolation,Bicep Curl,"Mixed, Shoulder Width, Machine"
Hinge,Back Extension,"Neutral, Machine, Chains"
Pull,Barbell Row,"Neutral, Dumbbell, Single Arm"
Press,Machine Chest Press,"Supinated, Narrow, Barbell"
Isolation,Rear Delt Fly,"Pronated, Bodyweight, Bands"
Pull,Cable Row,"Mixed, Wide, Barbell"
Isolation,Tricep Pushdown,"Mixed, Split, Smith Machine"
Isolation,Bicep Curl,"False, Split, Dumbbell"
Pull,Chest Supported Row,"Supinated, Staggered, Dumbbell"
Isolation,Leg Curl,"Pronated, Dumbbell, Single Arm"
Pull,Chest Supported Row,"Supinated, Machine, Elevated Heels"
Squat,Goblet Squat,"Pronated, Dumbbell, Feet Elevated"
Hinge,Back Extension,"Supinated, Bodyweight, Bands"
Squat,Back Squat,"Neutral, Shoulder Width, Cable"
Press,Decline Bench Press,"Pronated, Narrow, Barbell"
Squat,Safety Bar Squat,"Mixed, Wide, Smith Machine"
Isolation,Bicep Curl,"Supinated, Dumbbell, Chains"
Hinge,Hip Thrust,"Supinated, Narrow, Smith Machine"
Pull,Barbell Row,"False, Shoulder Width, Barbell"
Isolation,Rear Delt Fly,"Mixed, Shoulder Width, Dumbbell"
Press,Dip,"Supinated, Smith Machine, Chains"
Squat,Zercher Squat,"False, Split, Dumbbell"
Press,Barbell Bench Press,"Neutral, Dumbbell, Chains"
Pull,Chin-Up,"Mixed, Split, Smith Machine"
Hinge,Back Extension,"False, Split, Barbell"
Isolation,Rear Delt Fly,"Neutral, Staggered, Machine"
Squat,Hack Squat,"Pronated, Dumbbell, Feet Elevated"
Isolation,Bicep Curl,"Neutral, Machine, Single Arm"
Isolation,Leg Curl,"Neutral, Split, Cable"
Squat,Goblet Squat,"Supinated, Narrow, Cable"
Pull,Chest Supported Row,"Mixed, Narrow, Bodyweight"
Squat,Safety Bar Squat,"Supinated, Cable, Single Arm"
Isolation,Bicep Curl,"False, Split, Cable"
Pull,Pull-Up,"Mixed, Staggered, Machine"
Hinge,Romanian Deadlift,"Neutral, Smith Machine, Bands"
Hinge,Romanian Deadlift,"Pronated, Staggered, Dumbbell"
Hinge,Romanian Deadlift,"Supinated, Wide, Barbell"
Squat,Back Squat,"Supinated, Bodyweight, Single Arm"
Hinge,Deadlift,"Neutral, Cable, Single Arm"
Hinge,Hip Thrust,"Supinated, Wide, Dumbbell"
Press,Decline Bench Press,"Supinated, Narrow, Machine"
Hinge,Stiff-Leg Deadlift,"Pronated, Staggered, Machine"
Squat,Hack Squat,"Supinated, Narrow, Cable"
Pull,Chest Supported Row,"Neutral, Narrow, Barbell"
Pull,T-Bar Row,"Neutral, Bodyweight, Chains"
Isolation,Bicep Curl,"Pronated, Bodyweight, Single Arm"
Press,Incline Bench Press,"Pronated, Cable, Chains"
Isolation,Leg Curl,"Supinated, Dumbbell, Feet Elevated"
Hinge,Hip Thrust,"False, Shoulder Width, Cable"
Isolation,Lateral Raise,"Pronated, Bodyweight, Bands"
Isolation,Rear Delt Fly,"Neutral, Shoulder Width, Dumbbell"
Pull,Chest Supported Row,"Pronated, Cable, Feet Elevated"
Press,Overhead Press,"Neutral, Split, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Neutral, Narrow, Bodyweight"
Press,Incline Bench Press,"Supinated, Staggered, Cable"
Press,Machine Chest Press,"Supinated, Staggered, Smith Machine"
Isolation,Leg Curl,"Pronated, Dumbbell, Elevated Heels"
Squat,Hack Squat,"Neutral, Split, Barbell"
Pull,Chin-Up,"Pronated, Shoulder Width, Bodyweight"
Hinge,Stiff-Leg Deadlift,"Pronated, Narrow, Cable"
Press,Barbell Bench Press,"Supinated, Machine, Single Arm"
Isolation,Bicep Curl,"Mixed, Split, Cable"
Squat,Back Squat,"Supinated, Barbell, Deficit"
Squat,Belt Squat,"Supinated, Wide, Cable"
Pull,Chest Supported Row,"Supinated, Split, Cable"
Isolation,Lateral Raise,"Mixed, Shoulder Width, Dumbbell"
Squat,Belt Squat,"Supinated, Shoulder Width, Machine"
Pull,T-Bar Row,"False, Staggered, Dumbbell"
Press,Decline Bench Press,"Supinated, Split, Smith Machine"
Pull,Chin-Up,"Neutral, Dumbbell, Single Arm"
Isolation,Lateral Raise,"Neutral, Staggered, Machine"
Isolation,Calf Raise,"Supinated, Split, Dumbbell"
Press,Overhead Press,"Pronated, Split, Machine"
Pull,T-Bar Row,"Supinated, Staggered, Dumbbell"
Pull,T-Bar Row,"Supinated, Machine, Elevated Heels"
Isolation,Rear Delt Fly,"Pronated, Dumbbell, Chains"
Isolation,Rear Delt Fly,"Pronated, Machine, Single Arm"
Isolation,Bicep Curl,"Pronated, Wide, Bodyweight"
Hinge,Romanian Deadlift,"Supinated, Machine, Deficit"
Press,Dip,"Pronated, Narrow, Barbell"
Squat,Front Squat,"Supinated, Shoulder Width, Dumbbell"
Press,Barbell Bench Press,"Supinated, Bodyweight, Elevated Heels"
Press,Overhead Press,"Pronated, Split, Cable"
Hinge,Back Extension,"Supinated, Smith Machine, Feet Elevated"
Squat,Belt Squat,"Neutral, Shoulder Width, Cable"
Hinge,Stiff-Leg Deadlift,"Pronated, Staggered, Dumbbell"
Hinge,Stiff-Leg Deadlift,"Supinated, Wide, Barbell"
Hinge,Deadlift,"Supinated, Machine, Bands"
Isolation,Rear Delt Fly,"Pronated, Shoulder Width, Dumbbell"
Hinge,Deadlift,"Neutral, Shoulder Width, Bodyweight"
Pull,T-Bar Row,"Mixed, Narrow, Bodyweight"
Squat,Belt Squat,"Neutral, Narrow, Smith Machine"
Isolation,Leg Extension,"Pronated, Machine, Elevated Heels"
Hinge,Hip Thrust,"Neutral, Dumbbell, Bands"
Pull,T-Bar Row,"Neutral, Narrow, Smith Machine"
Isolation,Leg Curl,"Pronated, Wide, Smith Machine"
Pull,Chest Supported Row,"False, Staggered, Machine"
Hinge,Back Extension,"Neutral, Machine, Elevated Heels"
Press,Incline Bench Press,"Pronated, Machine, Feet Elevated"
Squat,Belt Squat,"False, Staggered, Cable"
Isolation,Lateral Raise,"Neutral, Shoulder Width, Dumbbell"
Pull,Barbell Row,"False, Staggered, Smith Machine"
Isolation,Leg Curl,"Pronated, Narrow, Smith Machine"
Squat,Belt Squat,"Neutral, Narrow, Barbell"
Pull,Cable Row,"Pronated, Smith Machine, Bands"
Squat,Hack Squat,"Pronated, Split, Dumbbell"
Press,Dumbbell Bench Press,"Pronated, Split, Barbell"
Press,Incline Bench Press,"False, Wide, Machine"
Press,Dip,"Supinated, Narrow, Machine"
Isolation,Lateral Raise,"False, Wide, Cable"
Pull,T-Bar Row,"Neutral, Narrow, Barbell"
Hinge,Deadlift,"Pronated, Staggered, Cable"
Hinge,Stiff-Leg Deadlift,"Neutral, Split, Machine"
Isolation,Bicep Curl,"Pronated, Shoulder Width, Smith Machine"
Hinge,Romanian Deadlift,"Pronated, Machine, Chains"
Press,Barbell Bench Press,"Pronated, Cable, Elevated Heels"
Isolation,Leg Extension,"Pronated, Barbell, Chains"
Isolation,Leg Curl,"Pronated, Machine, Deficit"
Squat,Zercher Squat,"Neutral, Wide, Smith Machine"
Hinge,Deadlift,"False, Narrow, Machine"
Isolation,Leg Curl,"Neutral, Machine, Chains"
Squat,Safety Bar Squat,"Mixed, Shoulder Width, Smith Machine"
Squat,Zercher Squat,"Pronated, Shoulder Width, Smith Machine"
Press,Barbell Bench Press,"Mixed, Split, Machine"
Pull,T-Bar Row,"Pronated, Cable, Feet Elevated"
Isolation,Rear Delt Fly,"Neutral, Smith Machine, Elevated Heels"
Isolation,Tricep Pushdown,"Mixed, Staggered, Barbell"
Squat,Back Squat,"Neutral, Split, Dumbbell"
Pull,Lat Pulldown,"Neutral, Bodyweight, Chains"
Press,Incline Bench Press,"Neutral, Split, Bodyweight"
Isolation,Leg Curl,"Supinated, Bodyweight, Bands"
Isolation,Lateral Raise,"Pronated, Dumbbell, Chains"
Press,Decline Bench Press,"Pronated, Cable, Chains"
Isolation,Lateral Raise,"Pronated, Machine, Single Arm"
Pull,Pull-Up,"Supinated, Narrow, Smith Machine"
Pull,Chest Supported Row,"Neutral, Machine, Deficit"
Isolation,Leg Curl,"Mixed, Split, Bodyweight"
Pull,T-Bar Row,"Supinated, Split, Cable"
Squat,Safety Bar Squat,"Supinated, Smith Machine, Chains"
Pull,Lat Pulldown,"Pronated, Wide, Machine"
Pull,Chest Supported Row,"Neutral, Bodyweight, Single Arm"
Isolation,Leg Curl,"False, Split, Barbell"
Squat,Front Squat,"Mixed, Narrow, Machine"
Isolation,Lateral Raise,"Pronated, Shoulder Width, Dumbbell"
Press,Overhead Press,"Mixed, Staggered, Dumbbell"
Press,Dip,"Supinated, Split, Smith Machine"
Press,Decline Bench Press,"Supinated, Staggered, Cable"
Press,Overhead Press,"Pronated, Dumbbell, Deficit"
Hinge,Stiff-Leg Deadlift,"Supinated, Machine, Deficit"
Squat,Goblet Squat,"Neutral, Bodyweight, Bands"
Squat,Hack Squat,"Pronated, Barbell, Bands"
Isolation,Leg Extension,"Mixed, Staggered, Machine"
Press,Incline Bench Press,"Pronated, Staggered, Smith Machine"
Pull,Lat Pulldown,"False, Staggered, Dumbbell"
Pull,Pull-Up,"Supinated, Wide, Dumbbell"
Squat,Front Squat,"Neutral, Staggered, Barbell"
Press,Barbell Bench Press,"Pronated, Shoulder Width, Machine"
Hinge,Back Extension,"Mixed, Staggered, Bodyweight"
Press,Smith Machine Press,"Supinated, Split, Barbell"
Pull,Barbell Row,"Neutral, Barbell, Single Arm"
Squat,Safety Bar Squat,"Neutral, Staggered, Dumbbell"
Press,Barbell Bench Press,"Supinated, Dumbbell, Single Arm"
Squat,Back Squat,"Mixed, Split, Smith Machine"
Isolation,Calf Raise,"Neutral, Smith Machine, Bands"
Pull,Lat Pulldown,"Supinated, Staggered, Dumbbell"
